index;x;y;z
0;0.287857;-0.429184;-0.617645
1;0.381882;-0.398117;-0.957535
2;0.389328;-0.282852;-1.027832
3;0.422485;-0.359558;-0.818283
4;0.417999;-0.362900;-0.851349
5;0.378220;-0.307816;-0.827545
6;0.326706;-0.260330;-0.817230
7;0.291794;-0.212128;-0.799286
8;0.283249;-0.176346;-0.845444
9;0.300247;-0.149475;-0.938187
10;0.307312;-0.143387;-0.946640
11;0.314438;-0.028732;-0.840256
12;0.518799;0.044174;-0.940659
13;0.552292;-0.087204;-0.972733
14;0.503220;-0.002884;-0.818405
15;0.695389;-0.132095;-0.977539
16;0.592026;0.040604;-0.855042
17;0.494965;0.046387;-0.835297
18;0.536911;0.006653;-0.836609
19;0.367142;-0.022842;-0.857727
20;0.651855;0.095093;-0.757080
21;0.596359;0.127197;-0.701828
22;0.675934;-0.024765;-0.650177
23;0.796875;0.183731;-0.663330
24;0.972824;0.133362;-0.695023
25;0.565704;0.149918;-0.723358
26;0.928085;0.207062;-0.547272
27;1.033646;-0.071121;-0.727249
28;0.792740;0.176498;-0.371231
29;0.866623;0.101456;-0.492310
30;0.891220;0.255615;-0.381958
31;0.828522;0.187485;-0.380539
32;0.971176;0.156357;-0.293549
33;1.089325;0.257568;-0.156754
34;1.074081;0.065964;-0.262695
35;0.914597;0.141983;-0.355331
36;1.036728;-0.145996;-0.463318
37;0.982315;0.149765;-0.208344
38;1.027832;-0.044037;-0.267319
39;1.238907;0.076431;-0.168411
40;1.005112;0.057495;-0.110199
41;0.899124;0.123016;-0.089798
42;1.079529;-0.127426;-0.151703
43;0.955475;-0.061539;-0.148819
44;0.755524;0.107452;-0.247818
45;0.855576;-0.044952;-0.271027
46;0.993805;0.156754;0.048294
47;0.912003;0.164505;-0.023392
48;0.958420;0.176270;-0.199707
49;0.980301;0.096420;-0.245636
50;1.010162;0.144882;-0.263962
51;1.023499;0.345657;-0.096481
52;1.029617;0.297394;-0.162811
53;0.874039;0.441086;-0.014374
54;0.792953;0.377762;-0.003159
55;0.730377;0.401077;0.005981
56;0.786636;0.351578;-0.004761
57;0.779160;0.345612;-0.019211
58;1.031662;0.342758;-0.032623
59;1.080063;0.284943;-0.176086
60;1.126297;0.476334;-0.117935
61;0.939362;0.730087;-0.083969
62;1.027222;0.289444;-0.378311
63;0.957565;0.554825;-0.169037
64;0.865753;0.546600;0.024139
65;0.705902;0.470810;-0.143570
66;0.711746;0.703812;-0.076675
67;0.751022;0.562973;-0.218567
68;0.848755;0.557678;-0.100571
69;0.794037;0.510437;-0.135147
70;0.678909;0.596619;-0.162247
71;0.684418;0.519516;-0.215240
72;0.761917;0.701630;-0.122711
73;0.783737;0.782715;-0.149307
74;0.629135;0.785385;-0.142105
75;0.658371;0.837250;-0.135681
76;0.625427;0.847290;-0.102859
77;0.608414;0.813477;-0.139145
78;0.566788;0.767365;-0.116501
79;0.540222;0.658127;-0.099121
80;0.470230;0.829590;-0.151657
81;0.487228;0.888977;-0.105911
82;0.464676;0.820679;-0.141953
83;0.368668;0.681274;-0.122574
84;0.279205;0.698349;-0.145905
85;0.176788;0.555725;-0.195755
86;0.698547;1.862335;0.210236
87;0.069778;0.734268;0.217392
88;-0.766068;1.660248;-0.214142
89;-0.738342;0.685196;0.123627
90;-0.225525;0.980209;-0.198959
91;-0.168228;1.018188;-0.005264
92;-0.237015;0.921326;-0.082092
93;-0.231140;0.930450;-0.019150
94;-0.297516;0.942886;-0.106079
95;-0.322372;0.934998;-0.110657
96;-0.309326;0.942719;-0.079926
97;-0.286957;0.947159;-0.066681
98;-0.274597;0.950104;-0.064682
99;-0.274094;0.941452;-0.072815
100;-0.258820;0.928879;-0.033844
101;-0.233932;0.920624;-0.017960
102;-0.236252;0.974747;0.008392
103;-0.293991;1.096817;-0.126175
104;-0.215851;0.974274;-0.062943
105;-0.199661;0.887421;0.037308
106;-0.158783;0.979156;0.060013
107;-0.147537;0.998230;0.032928
108;-0.143570;0.969559;0.075134
109;-0.103226;0.999176;0.074829
110;-0.113052;0.996307;0.067093
111;-0.112091;0.997665;0.071594
112;-0.079590;1.009262;0.093857
113;-0.075668;1.002121;0.102768
114;-0.109314;0.994171;0.098953
115;-0.074402;0.982864;0.117371
116;-0.060074;0.991608;0.079620
117;-0.043762;0.985992;0.095779
118;-0.058167;1.011932;0.096359
119;-0.085846;1.021439;0.046829
120;-0.089340;0.978104;0.040024
121;-0.076263;0.962845;0.053314
122;-0.040924;1.002747;0.082581
123;-0.024521;1.002136;0.107132
124;-0.038681;0.990433;0.108536
125;-0.126816;0.979446;0.095825
126;-0.094955;0.989090;0.111938
127;-0.116577;0.998474;0.092392
128;-0.141525;1.013168;0.081436
129;-0.124863;0.983597;0.091476
130;-0.079865;0.993393;0.094864
131;-0.086243;0.994003;0.107727
132;-0.154739;0.986084;0.092834
133;-0.135376;0.972107;0.074860
134;-0.141663;0.967926;0.099991
135;-0.149109;0.969086;0.112473
136;-0.168137;0.974304;0.111801
137;-0.168991;0.980179;0.100677
138;-0.155869;0.966660;0.100616
139;-0.145218;0.968033;0.094147
140;-0.149384;0.981918;0.080322
141;-0.159882;0.977554;0.071533
142;-0.154236;0.995987;0.096817
143;-0.159515;0.977646;0.101944
144;-0.112259;0.984024;0.113693
145;-0.157684;0.987579;0.106430
146;-0.140396;0.968918;0.103149
147;-0.137772;0.976685;0.112991
148;-0.159134;0.986908;0.076050
149;-0.129669;0.987381;0.098389
150;-0.143814;0.986206;0.065720
151;-0.132248;0.983795;0.098511
152;-0.159470;0.972321;0.101410
153;-0.152512;0.973480;0.113327
154;-0.140594;0.987000;0.109848
155;-0.136459;0.984467;0.101471
156;-0.139084;0.991028;0.089081
157;-0.142532;0.983383;0.090256
158;-0.143509;0.978592;0.098282
159;-0.130066;0.978775;0.104034
160;-0.132034;0.981842;0.104553
161;-0.132462;0.978378;0.105087
162;-0.126587;0.976685;0.094513
163;-0.125412;0.989731;0.081085
164;-0.124878;0.996613;0.069916
165;-0.124512;0.992905;0.084946
166;-0.130829;0.984726;0.087296
167;-0.134705;0.981827;0.098236
168;-0.144669;0.977539;0.099228
169;-0.142715;0.983765;0.087357
170;-0.142731;0.988235;0.085938
171;-0.142822;0.978241;0.087601
172;-0.142426;0.977631;0.088730
173;-0.133926;0.983398;0.088715
174;-0.106445;0.983902;0.080429
175;-0.075943;0.997589;0.076553
176;-0.130371;0.983398;0.064041
177;-0.134842;0.986481;0.088150
178;-0.153992;0.982605;0.087784
179;-0.144058;0.986511;0.103378
180;-0.143021;0.985611;0.112320
181;-0.138214;0.978729;0.121140
182;-0.142303;0.976486;0.113434
183;-0.124619;0.974976;0.092560
184;-0.120804;0.994781;0.077621
185;-0.140366;0.989319;0.061920
186;-0.148209;0.988098;0.082535
187;-0.136261;0.979767;0.083206
188;-0.132751;0.986740;0.085175
189;-0.114426;0.989395;0.099579
190;-0.116882;0.983322;0.075150
191;-0.137817;0.991226;0.055084
192;-0.141663;0.977493;0.070938
193;-0.145905;0.974167;0.059433
194;-0.143478;0.967773;0.063690
195;-0.151886;0.979218;0.060318
196;-0.115875;0.979782;0.072052
197;-0.122101;0.985809;0.079163
198;-0.116974;1.000168;0.090103
199;-0.148605;0.996445;0.094406
200;-0.148071;0.982605;0.066101
201;-0.120316;0.982986;0.052017
202;-0.117584;0.982498;0.079132
203;-0.121246;0.984589;0.081299
204;-0.142075;0.982132;0.093353
205;-0.130264;0.985718;0.101822
206;-0.131073;0.981506;0.098068
207;-0.135803;0.988083;0.092499
208;-0.120865;0.990906;0.083649
209;-0.129562;0.987427;0.089478
210;-0.137192;0.978699;0.103928
211;-0.130295;0.990005;0.108978
212;-0.126297;0.979004;0.105881
213;-0.139694;0.987411;0.094772
214;-0.135147;0.980469;0.096115
215;-0.129807;0.984009;0.096558
216;-0.141312;0.985687;0.094559
217;-0.141998;0.986603;0.103424
218;-0.139511;0.986053;0.094681
219;-0.131516;0.974625;0.101868
220;-0.138290;0.981201;0.098663
221;-0.132339;0.982910;0.096237
222;-0.131332;0.987518;0.091537
223;-0.129303;0.985916;0.092178
224;-0.137817;0.982620;0.094894
225;-0.131271;0.982040;0.106262
226;-0.146072;0.983688;0.098923
227;-0.142975;0.982544;0.101578
228;-0.141235;0.981232;0.097275
229;-0.145172;0.983063;0.092010
230;-0.140259;0.982666;0.096390
231;-0.141739;0.982635;0.097076
232;-0.134674;0.978058;0.100494
233;-0.145477;0.982697;0.096390
234;-0.143204;0.982452;0.095093
235;-0.141830;0.982010;0.091278
236;-0.148666;0.984543;0.088486
237;-0.149506;0.986084;0.093338
238;-0.136551;0.980743;0.094528
239;-0.139359;0.982224;0.090668
240;-0.147507;0.978943;0.096207
241;-0.150284;0.982330;0.096725
242;-0.146240;0.979263;0.090912
243;-0.140656;0.983871;0.088928
244;-0.149673;0.981949;0.091202
245;-0.137787;0.982864;0.092453
246;-0.142242;0.984756;0.088577
247;-0.154526;0.980469;0.087311
248;-0.152710;0.980469;0.086212
249;-0.151199;0.978210;0.092041
250;-0.146454;0.980301;0.091614
251;-0.147720;0.983704;0.086136
252;-0.149887;0.985611;0.082611
253;-0.148727;0.977295;0.079086
254;-0.146164;0.984222;0.087204
255;-0.151764;0.982239;0.094116
256;-0.140976;0.974823;0.097427
257;-0.145767;0.988464;0.084167
258;-0.149155;0.981476;0.086060
259;-0.148819;0.980392;0.087341
260;-0.152786;0.978271;0.089890
261;-0.153122;0.982788;0.093842
262;-0.140533;0.979828;0.082230
263;-0.148010;0.987900;0.087265
264;-0.150803;0.976929;0.083084
265;-0.141083;0.980850;0.085571
266;-0.155807;0.985336;0.082520
267;-0.145676;0.981430;0.086212
268;-0.148880;0.981445;0.085556
269;-0.150055;0.984146;0.081085
270;-0.150528;0.983994;0.075134
271;-0.143997;0.983109;0.081848
272;-0.148819;0.980591;0.084839
273;-0.149918;0.983871;0.083618
274;-0.144791;0.982880;0.076508
275;-0.149857;0.983047;0.077393
276;-0.156586;0.982071;0.077866
277;-0.152863;0.981918;0.081360
278;-0.151596;0.980377;0.079636
279;-0.148331;0.979172;0.075089
280;-0.142944;0.983948;0.071213
281;-0.146469;0.984894;0.066055
282;-0.145126;0.982056;0.073471
283;-0.142181;0.980331;0.077866
284;-0.147247;0.983780;0.073990
285;-0.140320;0.982910;0.073837
286;-0.139847;0.984619;0.073517
287;-0.148758;0.985306;0.077240
288;-0.145630;0.981842;0.080338
289;-0.139664;0.982040;0.078690
290;-0.142807;0.986084;0.075134
291;-0.141144;0.985748;0.074799
292;-0.139145;0.981186;0.071793
293;-0.140701;0.985474;0.078110
294;-0.146072;0.983627;0.077927
295;-0.139603;0.982773;0.081070
296;-0.146072;0.985641;0.073303
297;-0.142471;0.983017;0.074982
298;-0.144897;0.984238;0.076447
299;-0.143280;0.983536;0.078903
300;-0.145355;0.984192;0.077972
301;-0.142792;0.984985;0.078369
302;-0.145523;0.984711;0.077301
303;-0.141129;0.983215;0.080414
304;-0.144562;0.983871;0.078094
305;-0.141068;0.983475;0.076202
306;-0.143616;0.986252;0.073975
307;-0.143204;0.982437;0.072937
308;-0.143158;0.984726;0.068848
309;-0.141663;0.983276;0.072495
310;-0.143097;0.982483;0.074265
311;-0.143265;0.985275;0.070984
312;-0.143158;0.983994;0.069885
313;-0.143417;0.985001;0.069595
314;-0.144928;0.978989;0.071091
315;-0.140366;0.982742;0.069107
316;-0.151169;0.989685;0.068359
317;-0.144043;0.981354;0.065811
318;-0.145447;0.982727;0.074005
319;-0.147171;0.982346;0.075455
320;-0.146439;0.983978;0.074631
321;-0.144699;0.984253;0.074188
322;-0.144653;0.981766;0.074814
323;-0.147949;0.983353;0.071625
324;-0.143753;0.982605;0.076630
325;-0.146896;0.983566;0.071793
326;-0.145416;0.984848;0.074326
327;-0.141052;0.982239;0.074692
328;-0.147903;0.984314;0.072739
329;-0.148743;0.984024;0.077835
330;-0.147324;0.984161;0.074997
331;-0.148224;0.982269;0.072800
332;-0.147812;0.982376;0.074554
333;-0.147659;0.983521;0.074692
334;-0.150070;0.983566;0.072647
335;-0.147278;0.982224;0.075821
336;-0.147659;0.982864;0.074051
337;-0.152756;0.981201;0.072952
338;-0.148071;0.982208;0.076721
339;-0.148117;0.984604;0.072388
340;-0.153229;0.985931;0.069733
341;-0.148392;0.984131;0.073639
342;-0.148300;0.979538;0.065125
343;-0.143188;0.983627;0.070099
344;-0.149689;0.986298;0.061447
345;-0.148941;0.982925;0.064667
346;-0.149811;0.984116;0.063965
347;-0.145905;0.983856;0.062271
348;-0.141724;0.984573;0.068085
349;-0.145111;0.981812;0.070251
350;-0.148819;0.983231;0.066269
351;-0.145340;0.983490;0.069214
352;-0.149521;0.984772;0.063690
353;-0.153519;0.981857;0.065063
354;-0.149963;0.983124;0.064987
355;-0.146408;0.985977;0.059769
356;-0.146423;0.983124;0.060410
357;-0.149261;0.985367;0.061203
358;-0.144836;0.983597;0.064667
359;-0.147491;0.983231;0.063644
360;-0.146133;0.985397;0.061676
361;-0.147598;0.983185;0.061035
362;-0.149521;0.984360;0.061081
363;-0.147263;0.982239;0.065781
364;-0.148651;0.983032;0.064453
365;-0.148941;0.985886;0.059204
366;-0.148926;0.984665;0.060120
367;-0.141876;0.980972;0.064972
368;-0.155334;0.988235;0.061905
369;-0.149521;0.980499;0.067413
370;-0.141251;0.981293;0.060593
371;-0.148743;0.984695;0.059784
372;-0.149384;0.985809;0.056366
373;-0.145554;0.982651;0.057068
374;-0.149689;0.984299;0.061401
375;-0.152100;0.984940;0.060379
376;-0.149765;0.980881;0.059906
377;-0.147263;0.983398;0.057785
378;-0.154037;0.986450;0.057236
379;-0.155136;0.984528;0.058395
380;-0.151352;0.981155;0.064301
381;-0.146866;0.983856;0.061935
382;-0.152374;0.984924;0.056198
383;-0.150253;0.985687;0.058258
384;-0.151031;0.980698;0.061401
385;-0.151932;0.984741;0.061646
386;-0.151749;0.982620;0.059250
387;-0.151627;0.984467;0.056213
388;-0.146698;0.983078;0.060928
389;-0.147278;0.984177;0.059509
390;-0.152786;0.985153;0.054504
391;-0.148727;0.981720;0.058655
392;-0.152374;0.982880;0.059433
393;-0.149902;0.982285;0.059525
394;-0.150925;0.988220;0.058868
395;-0.151993;0.980301;0.059113
396;-0.143799;0.982849;0.062317
397;-0.151642;0.987045;0.057053
398;-0.147263;0.985519;0.058426
399;-0.153488;0.981171;0.064896
400;-0.150970;0.985291;0.063721
401;-0.149689;0.981613;0.065155
402;-0.155792;0.981781;0.066818
403;-0.153427;0.984482;0.063766
404;-0.148056;0.985748;0.060776
405;-0.149811;0.986526;0.060318
406;-0.145844;0.983337;0.061081
407;-0.148544;0.983994;0.057098
408;-0.147995;0.984116;0.060120
409;-0.151245;0.984177;0.058365
410;-0.149963;0.983978;0.057083
411;-0.146622;0.983322;0.060242
412;-0.152634;0.983185;0.063721
413;-0.153549;0.982483;0.066025
414;-0.157181;0.982788;0.063934
415;-0.150711;0.984222;0.068207
416;-0.155396;0.982178;0.066132
417;-0.152039;0.983612;0.071747
418;-0.154633;0.981964;0.068726
419;-0.147827;0.985123;0.064911
420;-0.151657;0.983765;0.067490
421;-0.154129;0.984146;0.068268
422;-0.154053;0.979828;0.062988
423;-0.145386;0.979919;0.063019
424;-0.160690;0.987778;0.060074
425;-0.153259;0.980728;0.065964
426;-0.150208;0.981171;0.071213
427;-0.151886;0.982178;0.070877
428;-0.149887;0.984695;0.064987
429;-0.151489;0.983505;0.062836
430;-0.152039;0.983322;0.068604
431;-0.152237;0.981644;0.071152
432;-0.154343;0.983063;0.067749
433;-0.148361;0.982178;0.069351
434;-0.154480;0.984161;0.065796
435;-0.155319;0.983231;0.072189
436;-0.161362;0.986298;0.067322
437;-0.148880;0.979004;0.076630
438;-0.158371;0.984009;0.066010
439;-0.150558;0.985031;0.075546
440;-0.155182;0.982529;0.062714
441;-0.152267;0.984787;0.069946
442;-0.152527;0.980408;0.065689
443;-0.153839;0.982544;0.060883
444;-0.154816;0.984421;0.059448
445;-0.149780;0.982407;0.058578
446;-0.152557;0.981247;0.060913
447;-0.161118;0.989258;0.065369
448;-0.146362;0.978607;0.066391
449;-0.152649;0.980301;0.061813
450;-0.154816;0.984802;0.066162
451;-0.155640;0.982788;0.063507
452;-0.156540;0.980164;0.068253
453;-0.149948;0.982391;0.072647
454;-0.155228;0.981308;0.066544
455;-0.156540;0.981674;0.066116
456;-0.151428;0.982498;0.074677
457;-0.157669;0.983414;0.067398
458;-0.155746;0.984985;0.072403
459;-0.154984;0.984207;0.076035
460;-0.151459;0.981216;0.070831
461;-0.148514;0.982315;0.066849
462;-0.150223;0.984467;0.064606
463;-0.147995;0.981949;0.065720
464;-0.152634;0.984924;0.068542
465;-0.152252;0.981888;0.072906
466;-0.152634;0.983917;0.069061
467;-0.153107;0.982910;0.071945
468;-0.150406;0.984268;0.070084
469;-0.156265;0.982025;0.072632
470;-0.152237;0.983185;0.074203
471;-0.157776;0.981262;0.069138
472;-0.145996;0.983704;0.064850
473;-0.153610;0.987640;0.062424
474;-0.148712;0.980743;0.074707
475;-0.152481;0.981964;0.069916
476;-0.153229;0.985306;0.070450
477;-0.150772;0.983261;0.069031
478;-0.150940;0.981720;0.068115
479;-0.150589;0.982361;0.072433
480;-0.150009;0.981323;0.071915
481;-0.151901;0.985291;0.068893
482;-0.151398;0.981705;0.071976
483;-0.152664;0.981598;0.069824
484;-0.153702;0.983444;0.067886
485;-0.149185;0.982788;0.071594
486;-0.150970;0.982819;0.070221
487;-0.153091;0.982971;0.068497
488;-0.155228;0.983871;0.069626
489;-0.145889;0.983566;0.072937
490;-0.149078;0.983063;0.073181
491;-0.155045;0.982544;0.068512
492;-0.150253;0.983475;0.070450
493;-0.151230;0.982117;0.069855
494;-0.152435;0.982620;0.073883
495;-0.151520;0.983429;0.070343
496;-0.151291;0.983444;0.072220
497;-0.153122;0.983246;0.069199
498;-0.152390;0.983734;0.069611
